schema_version,campaign_id,case_id,solve_id,classification,created_utc,completed_utc,git_commit,campaign_manifest_path,campaign_manifest_sha256,confirmatory_manifest_sha256,command,environment_json,radius_m,k_rad_m,ka,energy_density_j_m3,f0,f0_applicable,f1,material_model,temporal_convention,particle_count,particle_index,family,position_x_m,position_y_m,position_z_m,minimum_distance_m,distance_ratio,coordinate_sha256,model,force_channel,lmax,full_modes_per_particle,active_modes_per_particle,system_dimension,solver_name,force_x_n,force_y_n,force_z_n,force_x_over_a2e0,force_y_over_a2e0,force_z_over_a2e0,successive_change,absolute_change,change_applicable,confirmation_lmax,confirmed,finite,diagnostics_pass,eligible,failure_stage,ineligibility_reason,stop_reason,evidence_role,include_in_scientific_tables
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,2,9,3,6,balanced_sqrt,1.1688981782766579,2.5981967655329892e-18,0,1.1688981782766579,2.5981967655329892e-18,0,0,0,false,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,2,9,3,6,balanced_sqrt,-1.1688981782766579,1.4552580440351267e-16,0,-1.1688981782766579,1.4552580440351267e-16,0,0,0,false,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,2,9,3,6,balanced_sqrt,1.1688981782766579,2.5981967655329892e-18,0,1.1688981782766579,2.5981967655329892e-18,0,0,0,false,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,2,9,3,6,balanced_sqrt,-1.1688981782766579,1.4552580440351267e-16,0,-1.1688981782766579,1.4552580440351267e-16,0,0,0,false,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,2,9,3,6,balanced_sqrt,1.1012681558070057,2.4508763303739021e-18,0,1.1012681558070057,2.4508763303739021e-18,0,0,0,false,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,2,9,3,6,balanced_sqrt,-1.1012681558070057,1.3707496853211415e-16,0,-1.1012681558070057,1.3707496853211415e-16,0,0,0,false,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,2,9,3,6,balanced_sqrt,0.067630022469652107,1.4732043515908703e-19,0,0.067630022469652107,1.4732043515908703e-19,0,0,0,false,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,2,9,3,6,balanced_sqrt,-0.067630022469652107,8.450835871398537e-18,0,-0.067630022469652107,8.450835871398537e-18,0,0,0,false,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,3,16,6,12,balanced_sqrt,1.3256610399914373,4.9641484297208664e-18,0,1.3256610399914373,4.9641484297208664e-18,0,0.11825259774986821,0.15676286171477938,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,3,16,6,12,balanced_sqrt,-1.3256610399914373,1.6842413935436402e-16,0,-1.3256610399914373,1.6842413935436402e-16,0,0.11825259774986821,0.15676286171477938,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,3,16,6,12,balanced_sqrt,1.3256610399914373,4.9641484297208664e-18,0,1.3256610399914373,4.9641484297208664e-18,0,0.11825259774986821,0.15676286171477938,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,3,16,6,12,balanced_sqrt,-1.3256610399914373,1.6842413935436402e-16,0,-1.3256610399914373,1.6842413935436402e-16,0,0.11825259774986821,0.15676286171477938,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,3,16,6,12,balanced_sqrt,1.1583748029910201,4.3157587790994282e-18,0,1.1583748029910201,4.3157587790994282e-18,0,0.049298937646572047,0.057106647184014481,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,3,16,6,12,balanced_sqrt,-1.1583748029910201,1.4712942716162644e-16,0,-1.1583748029910201,1.4712942716162644e-16,0,0.049298937646572047,0.057106647184014481,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,3,16,6,12,balanced_sqrt,0.16728623700041714,6.4838965062143781e-19,0,0.16728623700041714,6.4838965062143781e-19,0,0.59572273438439849,0.099656214530765036,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,3,16,6,12,balanced_sqrt,-0.16728623700041714,2.1294712192737576e-17,0,-0.16728623700041714,2.1294712192737576e-17,0,0.59572273438439849,0.099656214530765036,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,4,25,10,20,balanced_sqrt,1.4406635683119156,1.1896338953033912e-17,0,1.4406635683119156,1.1896338953033912e-17,0,0.079826082126329717,0.11500252832047819,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
